2021-03-10 at 11:01:40 | level:ERROR | process:28188 | file:custom_exception.py | module:core.custom_exception | line:94 | Request:{'url': URL('http://127.0.0.1:8090/'), 'method': 'GET', 'headers': Headers({'host': '127.0.0.1:8090', 'connection': 'keep-alive', 'upgrade-insecure-requests': '1', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36', 'accept': 'text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9', 'sec-fetch-site': 'none', 'sec-fetch-mode': 'navigate', 'sec-fetch-user': '?1', 'sec-fetch-dest': 'document', 'accept-encoding': 'gzip, deflate, br', 'accept-language': 'zh-CN,zh;q=0.9'}), 'body': b''}
2021-03-10 at 11:01:59 | level:INFO | process:48444 | file:items.py | module:api.items | line:33 | Response:{"code":200,"success":true,"message":null,"data":[{"owner_id":1,"id":1,"created_at":null,"description":"36氪获悉，快手正式宣布与杰威尔音乐达成版权授权合作，快手获得杰威尔音乐旗下歌手周杰伦全部歌曲及歌曲MV的短视频平台版权授权。用户将可以在快手听到周杰伦的众多经典歌曲及观看歌曲MV。更重要的是，快手创作者在创作短视频时将可以使用周杰伦的歌曲及MV作为配乐及素材。","title":"快手拿下周杰伦歌曲版权授权","updated_at":null},{"owner_id":1,"id":2,"created_at":null,"description":"5月30日晚，《青春有你2》总决赛名次公布，九人成团出道，团名为THE NINE。第一名刘雨昕；第二名虞书欣；第三名许佳琪；第四名喻言；第五名谢可寅；第六名安崎；第七名赵小棠；第八名孔雪儿；第九名陆柯燃。（搜狐娱乐）","title":"《青春有你2》总决赛落幕，9人成团出道","updated_at":null},{"owner_id":3,"id":3,"created_at":null,"description":"当地时间5月30日下午15点24分，搭载两名美国宇航员的美国太空探索技术公司SpaceX龙飞船发射成功，乘“猎鹰9号”火箭飞往国际空间站。这是自2011年以来美国首次使用国产火箭和飞船从本土将宇航员送往空间站，也是马斯克的太空探索公司SpaceX成立18年以来的首次载人飞行任务，同时也是人类历史上首次商业载人航天发射","title":"首个商业载人航天飞船SpaceX发射成功\r\n","updated_at":null},{"owner_id":6,"id":4,"created_at":null,"description":"近日，腾讯平台与内容事业群（PCG）宣布对视频业务进行新一轮组织架构调整，其中包括裁撤短视频平台产品部、调整部分部门职责等内容。具体调整安排涉及到三项部门撤销：撤销视频数据科学中心、撤销短视频平台产品部、撤销腾讯视频市场中心。值得说明的是，此次撤销的短视频平台产品部是腾讯视频下设的短视频业务，而非腾讯目前主推的短视频产品“微视”，后者隶属于腾讯PCG短视频社区产品部。（界面新闻）","title":"腾讯视频下短视频部门撤销合并，微视未受影响","updated_at":null},{"owner_id":7,"id":5,"created_at":null,"description":"马云在开学典礼上表示，“湖畔不是圈子，湖畔是一个思想交流的地方，我们坚持的是价值取向。我们不是利益共同体，而是价值观的共同体。”今年是湖畔办学第六年，有49位新生被录取，平均创业年限超过10年。（新浪科技）","title":"湖畔大学第六届开学，马云：湖畔不是圈子","updated_at":null},{"owner_id":5,"id":6,"created_at":null,"description":"36氪获悉，5月29日晚，微信公众平台发布《关于规范公众号内虚拟支付行为的公告》。公告称，基于iOS对开发者的管理规范，微信公众号内暂不支持iOS端虚拟支付业务。虚拟支付业务是指购买非实物商品，比如：VIP会员、充值、录制课程、录制音频视频等虚拟产品。","title":"微信公众号关闭虚拟支付业务","updated_at":null},{"owner_id":5,"id":7,"created_at":null,"description":"记者29日从北京大兴国际机场获悉，大兴机场持续推进“无纸化”智慧出行建设，在目前“一证通关+面像登机”无纸化产品基础之上启动“One ID”（唯一身份识别）试点，计划在2020年至2021年冬春航季期间面向部分国内航班旅客推出这项便民服务。这意味着旅客仅靠“刷脸”便可完成值机、托运、安检、登机的“全流程面像通关”便捷服务。（新华视点）","title":"北京大兴机场未来将实现全流程“刷脸”","updated_at":null},{"owner_id":3,"id":8,"created_at":null,"description":"36氪获悉，5月31日，微贷网官方微信号发布关于退出网贷行业的公告。 其称，基于国家政策及行业趋势原因，微贷网经审慎研究决定，将于2020年6月30日前退出网贷行业，不再经营网贷信息中介业务。应广大出借人要求，经综合考量，资管计划签约截止日期为2020年6月9日18点整，截止时间后签约通道将关闭。对资管计划签约截止时间后仍未签约的出借人，兑付方案将尽快另行公布。","title":"微贷网宣布6月30日前退出网贷行业","updated_at":null},{"owner_id":1,"id":9,"created_at":null,"description":"据中国证券报，目前，5G手机价格持续下探。5月20日，华为荣耀X10 5G手机发布，售价1899元起，打破此前由小米旗下Redmi K30保持的1999元起的5G手机售价纪录。5月24日，华为发布5G手机畅享Z，售价为1699元起。5月26日，小米发布起售价1599元的5G新机Redmi 10X。业内人士认为，厂商持续拉低5G手机售价，将加速5G手机的普及。（财联社）","title":"5G手机价格持续下探，最低售价1599元","updated_at":null},{"owner_id":2,"id":10,"created_at":null,"description":"近日，华为中国运营商业务部副总裁杨涛透露，华为目前已经在参与6G相关预研工作，将用毫米波段为主，目前处于场景挖掘和技术寻找阶段。华为创始人任正非曾在采访中指出6G技术研究的重要性。他表示，华为的6G是和5G开发是并行的。据其在接受《经济学人》采访时的表述，他预计6G技术十年后才会开始投入使用。（科创板日报）","title":"华为透露6G最新进展：目前处于场景挖掘和技术寻找阶段","updated_at":null}]}
2021-03-10 at 11:01:59 | level:INFO | process:48444 | file:middware.py | module:core.middware | line:16 | Process-Time(s):0.02792644500732422
2021-03-10 at 11:02:34 | level:INFO | process:15984 | file:items.py | module:api.items | line:30 | Request:{'url': URL('http://127.0.0.1:8090/api/v1/items/?skip=0&limit=10'), 'method': 'GET', 'headers': Headers({'host': '127.0.0.1:8090', 'connection': 'keep-alive', 'accept': 'application/json', 'authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJza3lmdWxAMTYzLmNvbSIsImV4cCI6MTYxNTM0ODkxM30.rfumTCNOleKHvVbgI-hTqtElt73h4QIyffhk3fRA4j8', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36', 'sec-fetch-site': 'same-origin', 'sec-fetch-mode': 'cors', 'sec-fetch-dest': 'empty', 'referer': 'http://127.0.0.1:8090/docs', 'accept-encoding': 'gzip, deflate, br', 'accept-language': 'zh-CN,zh;q=0.9'}), 'body': None, 'user': 'skyful'}
2021-03-10 at 11:02:34 | level:INFO | process:15984 | file:items.py | module:api.items | line:33 | Response:{"code":200,"success":true,"message":null,"data":[{"id":1,"created_at":null,"description":"36氪获悉，快手正式宣布与杰威尔音乐达成版权授权合作，快手获得杰威尔音乐旗下歌手周杰伦全部歌曲及歌曲MV的短视频平台版权授权。用户将可以在快手听到周杰伦的众多经典歌曲及观看歌曲MV。更重要的是，快手创作者在创作短视频时将可以使用周杰伦的歌曲及MV作为配乐及素材。","title":"快手拿下周杰伦歌曲版权授权","updated_at":null,"owner_id":1},{"id":2,"created_at":null,"description":"5月30日晚，《青春有你2》总决赛名次公布，九人成团出道，团名为THE NINE。第一名刘雨昕；第二名虞书欣；第三名许佳琪；第四名喻言；第五名谢可寅；第六名安崎；第七名赵小棠；第八名孔雪儿；第九名陆柯燃。（搜狐娱乐）","title":"《青春有你2》总决赛落幕，9人成团出道","updated_at":null,"owner_id":1},{"id":3,"created_at":null,"description":"当地时间5月30日下午15点24分，搭载两名美国宇航员的美国太空探索技术公司SpaceX龙飞船发射成功，乘“猎鹰9号”火箭飞往国际空间站。这是自2011年以来美国首次使用国产火箭和飞船从本土将宇航员送往空间站，也是马斯克的太空探索公司SpaceX成立18年以来的首次载人飞行任务，同时也是人类历史上首次商业载人航天发射","title":"首个商业载人航天飞船SpaceX发射成功\r\n","updated_at":null,"owner_id":3},{"id":4,"created_at":null,"description":"近日，腾讯平台与内容事业群（PCG）宣布对视频业务进行新一轮组织架构调整，其中包括裁撤短视频平台产品部、调整部分部门职责等内容。具体调整安排涉及到三项部门撤销：撤销视频数据科学中心、撤销短视频平台产品部、撤销腾讯视频市场中心。值得说明的是，此次撤销的短视频平台产品部是腾讯视频下设的短视频业务，而非腾讯目前主推的短视频产品“微视”，后者隶属于腾讯PCG短视频社区产品部。（界面新闻）","title":"腾讯视频下短视频部门撤销合并，微视未受影响","updated_at":null,"owner_id":6},{"id":5,"created_at":null,"description":"马云在开学典礼上表示，“湖畔不是圈子，湖畔是一个思想交流的地方，我们坚持的是价值取向。我们不是利益共同体，而是价值观的共同体。”今年是湖畔办学第六年，有49位新生被录取，平均创业年限超过10年。（新浪科技）","title":"湖畔大学第六届开学，马云：湖畔不是圈子","updated_at":null,"owner_id":7},{"id":6,"created_at":null,"description":"36氪获悉，5月29日晚，微信公众平台发布《关于规范公众号内虚拟支付行为的公告》。公告称，基于iOS对开发者的管理规范，微信公众号内暂不支持iOS端虚拟支付业务。虚拟支付业务是指购买非实物商品，比如：VIP会员、充值、录制课程、录制音频视频等虚拟产品。","title":"微信公众号关闭虚拟支付业务","updated_at":null,"owner_id":5},{"id":7,"created_at":null,"description":"记者29日从北京大兴国际机场获悉，大兴机场持续推进“无纸化”智慧出行建设，在目前“一证通关+面像登机”无纸化产品基础之上启动“One ID”（唯一身份识别）试点，计划在2020年至2021年冬春航季期间面向部分国内航班旅客推出这项便民服务。这意味着旅客仅靠“刷脸”便可完成值机、托运、安检、登机的“全流程面像通关”便捷服务。（新华视点）","title":"北京大兴机场未来将实现全流程“刷脸”","updated_at":null,"owner_id":5},{"id":8,"created_at":null,"description":"36氪获悉，5月31日，微贷网官方微信号发布关于退出网贷行业的公告。 其称，基于国家政策及行业趋势原因，微贷网经审慎研究决定，将于2020年6月30日前退出网贷行业，不再经营网贷信息中介业务。应广大出借人要求，经综合考量，资管计划签约截止日期为2020年6月9日18点整，截止时间后签约通道将关闭。对资管计划签约截止时间后仍未签约的出借人，兑付方案将尽快另行公布。","title":"微贷网宣布6月30日前退出网贷行业","updated_at":null,"owner_id":3},{"id":9,"created_at":null,"description":"据中国证券报，目前，5G手机价格持续下探。5月20日，华为荣耀X10 5G手机发布，售价1899元起，打破此前由小米旗下Redmi K30保持的1999元起的5G手机售价纪录。5月24日，华为发布5G手机畅享Z，售价为1699元起。5月26日，小米发布起售价1599元的5G新机Redmi 10X。业内人士认为，厂商持续拉低5G手机售价，将加速5G手机的普及。（财联社）","title":"5G手机价格持续下探，最低售价1599元","updated_at":null,"owner_id":1},{"id":10,"created_at":null,"description":"近日，华为中国运营商业务部副总裁杨涛透露，华为目前已经在参与6G相关预研工作，将用毫米波段为主，目前处于场景挖掘和技术寻找阶段。华为创始人任正非曾在采访中指出6G技术研究的重要性。他表示，华为的6G是和5G开发是并行的。据其在接受《经济学人》采访时的表述，他预计6G技术十年后才会开始投入使用。（科创板日报）","title":"华为透露6G最新进展：目前处于场景挖掘和技术寻找阶段","updated_at":null,"owner_id":2}]}
2021-03-10 at 11:02:34 | level:INFO | process:15984 | file:middware.py | module:core.middware | line:16 | Process-Time(s):0.00897526741027832
2021-03-10 at 11:02:38 | level:INFO | process:30912 | file:items.py | module:api.items | line:30 | Request:{'url': URL('http://127.0.0.1:8090/api/v1/items/?skip=0&limit=10'), 'method': 'GET', 'headers': Headers({'host': '127.0.0.1:8090', 'connection': 'keep-alive', 'accept': 'application/json', 'authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJza3lmdWxAMTYzLmNvbSIsImV4cCI6MTYxNTM0ODkxM30.rfumTCNOleKHvVbgI-hTqtElt73h4QIyffhk3fRA4j8', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36', 'sec-fetch-site': 'same-origin', 'sec-fetch-mode': 'cors', 'sec-fetch-dest': 'empty', 'referer': 'http://127.0.0.1:8090/docs', 'accept-encoding': 'gzip, deflate, br', 'accept-language': 'zh-CN,zh;q=0.9'}), 'body': None, 'user': 'skyful'}
2021-03-10 at 11:02:38 | level:INFO | process:30912 | file:items.py | module:api.items | line:33 | Response:{"code":200,"success":true,"message":null,"data":[{"id":1,"created_at":null,"description":"36氪获悉，快手正式宣布与杰威尔音乐达成版权授权合作，快手获得杰威尔音乐旗下歌手周杰伦全部歌曲及歌曲MV的短视频平台版权授权。用户将可以在快手听到周杰伦的众多经典歌曲及观看歌曲MV。更重要的是，快手创作者在创作短视频时将可以使用周杰伦的歌曲及MV作为配乐及素材。","title":"快手拿下周杰伦歌曲版权授权","updated_at":null,"owner_id":1},{"id":2,"created_at":null,"description":"5月30日晚，《青春有你2》总决赛名次公布，九人成团出道，团名为THE NINE。第一名刘雨昕；第二名虞书欣；第三名许佳琪；第四名喻言；第五名谢可寅；第六名安崎；第七名赵小棠；第八名孔雪儿；第九名陆柯燃。（搜狐娱乐）","title":"《青春有你2》总决赛落幕，9人成团出道","updated_at":null,"owner_id":1},{"id":3,"created_at":null,"description":"当地时间5月30日下午15点24分，搭载两名美国宇航员的美国太空探索技术公司SpaceX龙飞船发射成功，乘“猎鹰9号”火箭飞往国际空间站。这是自2011年以来美国首次使用国产火箭和飞船从本土将宇航员送往空间站，也是马斯克的太空探索公司SpaceX成立18年以来的首次载人飞行任务，同时也是人类历史上首次商业载人航天发射","title":"首个商业载人航天飞船SpaceX发射成功\r\n","updated_at":null,"owner_id":3},{"id":4,"created_at":null,"description":"近日，腾讯平台与内容事业群（PCG）宣布对视频业务进行新一轮组织架构调整，其中包括裁撤短视频平台产品部、调整部分部门职责等内容。具体调整安排涉及到三项部门撤销：撤销视频数据科学中心、撤销短视频平台产品部、撤销腾讯视频市场中心。值得说明的是，此次撤销的短视频平台产品部是腾讯视频下设的短视频业务，而非腾讯目前主推的短视频产品“微视”，后者隶属于腾讯PCG短视频社区产品部。（界面新闻）","title":"腾讯视频下短视频部门撤销合并，微视未受影响","updated_at":null,"owner_id":6},{"id":5,"created_at":null,"description":"马云在开学典礼上表示，“湖畔不是圈子，湖畔是一个思想交流的地方，我们坚持的是价值取向。我们不是利益共同体，而是价值观的共同体。”今年是湖畔办学第六年，有49位新生被录取，平均创业年限超过10年。（新浪科技）","title":"湖畔大学第六届开学，马云：湖畔不是圈子","updated_at":null,"owner_id":7},{"id":6,"created_at":null,"description":"36氪获悉，5月29日晚，微信公众平台发布《关于规范公众号内虚拟支付行为的公告》。公告称，基于iOS对开发者的管理规范，微信公众号内暂不支持iOS端虚拟支付业务。虚拟支付业务是指购买非实物商品，比如：VIP会员、充值、录制课程、录制音频视频等虚拟产品。","title":"微信公众号关闭虚拟支付业务","updated_at":null,"owner_id":5},{"id":7,"created_at":null,"description":"记者29日从北京大兴国际机场获悉，大兴机场持续推进“无纸化”智慧出行建设，在目前“一证通关+面像登机”无纸化产品基础之上启动“One ID”（唯一身份识别）试点，计划在2020年至2021年冬春航季期间面向部分国内航班旅客推出这项便民服务。这意味着旅客仅靠“刷脸”便可完成值机、托运、安检、登机的“全流程面像通关”便捷服务。（新华视点）","title":"北京大兴机场未来将实现全流程“刷脸”","updated_at":null,"owner_id":5},{"id":8,"created_at":null,"description":"36氪获悉，5月31日，微贷网官方微信号发布关于退出网贷行业的公告。 其称，基于国家政策及行业趋势原因，微贷网经审慎研究决定，将于2020年6月30日前退出网贷行业，不再经营网贷信息中介业务。应广大出借人要求，经综合考量，资管计划签约截止日期为2020年6月9日18点整，截止时间后签约通道将关闭。对资管计划签约截止时间后仍未签约的出借人，兑付方案将尽快另行公布。","title":"微贷网宣布6月30日前退出网贷行业","updated_at":null,"owner_id":3},{"id":9,"created_at":null,"description":"据中国证券报，目前，5G手机价格持续下探。5月20日，华为荣耀X10 5G手机发布，售价1899元起，打破此前由小米旗下Redmi K30保持的1999元起的5G手机售价纪录。5月24日，华为发布5G手机畅享Z，售价为1699元起。5月26日，小米发布起售价1599元的5G新机Redmi 10X。业内人士认为，厂商持续拉低5G手机售价，将加速5G手机的普及。（财联社）","title":"5G手机价格持续下探，最低售价1599元","updated_at":null,"owner_id":1},{"id":10,"created_at":null,"description":"近日，华为中国运营商业务部副总裁杨涛透露，华为目前已经在参与6G相关预研工作，将用毫米波段为主，目前处于场景挖掘和技术寻找阶段。华为创始人任正非曾在采访中指出6G技术研究的重要性。他表示，华为的6G是和5G开发是并行的。据其在接受《经济学人》采访时的表述，他预计6G技术十年后才会开始投入使用。（科创板日报）","title":"华为透露6G最新进展：目前处于场景挖掘和技术寻找阶段","updated_at":null,"owner_id":2}]}
2021-03-10 at 11:02:38 | level:INFO | process:30912 | file:middware.py | module:core.middware | line:16 | Process-Time(s):0.011974096298217773
2021-03-10 at 11:02:48 | level:INFO | process:26368 | file:items.py | module:api.items | line:30 | Request:{'url': URL('http://127.0.0.1:8090/api/v1/items/?skip=0&limit=10'), 'method': 'GET', 'headers': Headers({'host': '127.0.0.1:8090', 'connection': 'keep-alive', 'accept': 'application/json', 'authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJza3lmdWxAMTYzLmNvbSIsImV4cCI6MTYxNTM0ODkxM30.rfumTCNOleKHvVbgI-hTqtElt73h4QIyffhk3fRA4j8', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36', 'sec-fetch-site': 'same-origin', 'sec-fetch-mode': 'cors', 'sec-fetch-dest': 'empty', 'referer': 'http://127.0.0.1:8090/docs', 'accept-encoding': 'gzip, deflate, br', 'accept-language': 'zh-CN,zh;q=0.9'}), 'body': None, 'user': 'skyful'}
2021-03-10 at 11:02:48 | level:INFO | process:26368 | file:items.py | module:api.items | line:33 | Response:{"code":200,"success":true,"message":null,"data":[{"id":1,"created_at":null,"description":"36氪获悉，快手正式宣布与杰威尔音乐达成版权授权合作，快手获得杰威尔音乐旗下歌手周杰伦全部歌曲及歌曲MV的短视频平台版权授权。用户将可以在快手听到周杰伦的众多经典歌曲及观看歌曲MV。更重要的是，快手创作者在创作短视频时将可以使用周杰伦的歌曲及MV作为配乐及素材。","title":"快手拿下周杰伦歌曲版权授权","updated_at":null,"owner_id":1},{"id":2,"created_at":null,"description":"5月30日晚，《青春有你2》总决赛名次公布，九人成团出道，团名为THE NINE。第一名刘雨昕；第二名虞书欣；第三名许佳琪；第四名喻言；第五名谢可寅；第六名安崎；第七名赵小棠；第八名孔雪儿；第九名陆柯燃。（搜狐娱乐）","title":"《青春有你2》总决赛落幕，9人成团出道","updated_at":null,"owner_id":1},{"id":3,"created_at":null,"description":"当地时间5月30日下午15点24分，搭载两名美国宇航员的美国太空探索技术公司SpaceX龙飞船发射成功，乘“猎鹰9号”火箭飞往国际空间站。这是自2011年以来美国首次使用国产火箭和飞船从本土将宇航员送往空间站，也是马斯克的太空探索公司SpaceX成立18年以来的首次载人飞行任务，同时也是人类历史上首次商业载人航天发射","title":"首个商业载人航天飞船SpaceX发射成功\r\n","updated_at":null,"owner_id":3},{"id":4,"created_at":null,"description":"近日，腾讯平台与内容事业群（PCG）宣布对视频业务进行新一轮组织架构调整，其中包括裁撤短视频平台产品部、调整部分部门职责等内容。具体调整安排涉及到三项部门撤销：撤销视频数据科学中心、撤销短视频平台产品部、撤销腾讯视频市场中心。值得说明的是，此次撤销的短视频平台产品部是腾讯视频下设的短视频业务，而非腾讯目前主推的短视频产品“微视”，后者隶属于腾讯PCG短视频社区产品部。（界面新闻）","title":"腾讯视频下短视频部门撤销合并，微视未受影响","updated_at":null,"owner_id":6},{"id":5,"created_at":null,"description":"马云在开学典礼上表示，“湖畔不是圈子，湖畔是一个思想交流的地方，我们坚持的是价值取向。我们不是利益共同体，而是价值观的共同体。”今年是湖畔办学第六年，有49位新生被录取，平均创业年限超过10年。（新浪科技）","title":"湖畔大学第六届开学，马云：湖畔不是圈子","updated_at":null,"owner_id":7},{"id":6,"created_at":null,"description":"36氪获悉，5月29日晚，微信公众平台发布《关于规范公众号内虚拟支付行为的公告》。公告称，基于iOS对开发者的管理规范，微信公众号内暂不支持iOS端虚拟支付业务。虚拟支付业务是指购买非实物商品，比如：VIP会员、充值、录制课程、录制音频视频等虚拟产品。","title":"微信公众号关闭虚拟支付业务","updated_at":null,"owner_id":5},{"id":7,"created_at":null,"description":"记者29日从北京大兴国际机场获悉，大兴机场持续推进“无纸化”智慧出行建设，在目前“一证通关+面像登机”无纸化产品基础之上启动“One ID”（唯一身份识别）试点，计划在2020年至2021年冬春航季期间面向部分国内航班旅客推出这项便民服务。这意味着旅客仅靠“刷脸”便可完成值机、托运、安检、登机的“全流程面像通关”便捷服务。（新华视点）","title":"北京大兴机场未来将实现全流程“刷脸”","updated_at":null,"owner_id":5},{"id":8,"created_at":null,"description":"36氪获悉，5月31日，微贷网官方微信号发布关于退出网贷行业的公告。 其称，基于国家政策及行业趋势原因，微贷网经审慎研究决定，将于2020年6月30日前退出网贷行业，不再经营网贷信息中介业务。应广大出借人要求，经综合考量，资管计划签约截止日期为2020年6月9日18点整，截止时间后签约通道将关闭。对资管计划签约截止时间后仍未签约的出借人，兑付方案将尽快另行公布。","title":"微贷网宣布6月30日前退出网贷行业","updated_at":null,"owner_id":3},{"id":9,"created_at":null,"description":"据中国证券报，目前，5G手机价格持续下探。5月20日，华为荣耀X10 5G手机发布，售价1899元起，打破此前由小米旗下Redmi K30保持的1999元起的5G手机售价纪录。5月24日，华为发布5G手机畅享Z，售价为1699元起。5月26日，小米发布起售价1599元的5G新机Redmi 10X。业内人士认为，厂商持续拉低5G手机售价，将加速5G手机的普及。（财联社）","title":"5G手机价格持续下探，最低售价1599元","updated_at":null,"owner_id":1},{"id":10,"created_at":null,"description":"近日，华为中国运营商业务部副总裁杨涛透露，华为目前已经在参与6G相关预研工作，将用毫米波段为主，目前处于场景挖掘和技术寻找阶段。华为创始人任正非曾在采访中指出6G技术研究的重要性。他表示，华为的6G是和5G开发是并行的。据其在接受《经济学人》采访时的表述，他预计6G技术十年后才会开始投入使用。（科创板日报）","title":"华为透露6G最新进展：目前处于场景挖掘和技术寻找阶段","updated_at":null,"owner_id":2}]}
2021-03-10 at 11:02:48 | level:INFO | process:26368 | file:middware.py | module:core.middware | line:16 | Process-Time(s):0.00797891616821289
